Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q';CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
,3,A-1-1,,,Yes,,,,,,,,,,,,,,"[('3'; 2381)]",,,,
,3,A-1-2,,,Yes,,,,,,,,,,,,,,"[('3'; 2381'; ('A-1-2'; 1)]",,,,
,3.1.1,C-0-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.1.1,C-0-3,,,Yes,,,,,,,,,,,,,,"[('C-0-3'; 12)]",,,,
3.18. Contacts,3.18,C-1-1,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13'; ('3.18'; 4'; ('ACCOUNT_NAME'; 4)]",,,,
,3.18,C-1-2,,,Yes,,,,,,,,,,,,,,"[('ACCOUNT_TYPE'; 14'; ('3.18'; 4'; ('C-1-2'; 3)]",,,,
,3.18,C-1-3,,,Yes,,,,,,,,,,,,,,"[('ACCOUNT_TYPE'; 14'; ('3.18'; 4'; ('ACCOUNT_NAME'; 4)]",,,,
,3.18,C-1-4,,,Yes,,,,,,,,,,,,,,"[('3.18'; 4'; ('C-1-4'; 1)]",,,,
,3.18,C-1-5,,,Yes,,,,,,,,,,,,,,"[('3.18'; 4'; ('CALLER'; 1)]",,,,
,3.2.3.1,A-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.1,Tab-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-2-6,,,Yes,,,,,,,,,,,,,,"[('VIEW'; 232'; ('SMS'; 85)]",,,,
,3.2.3.5,C-3-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-5-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-5-2,,,Yes,,,,,,,,,,,,,,"[('DND'; 3)]",,,,
,3.2.3.5,C-6-1,,,Yes,,,,,,,,,,,,,,"[('DND'; 3'; ('ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS'; 1)]",,,,
,3.2.3.5,C-7-1,,,Yes,,,,,,,,,,,,,,"[('INPUT_METHOD_SETTINGS'; 1)]",,,,
,3.2.3.5,C-8-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-9-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-11-1,,,Yes,,,,,,,,,,,,,,"[('TINGS'; 76'; ('Settings.ACTION'; 16'; ('android.hardware.camera.any'; 1'; ('ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SET'; 1)]",,,,
,3.2.3.5,C-12-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-13-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-13-2,,,Yes,,,,,,,,,,,,,,"[('PROVISION_MANAGED_PROFILE'; 3'; ('PROVISIONING_SUCCESSFUL'; 2'; ('android.software.autofill'; 1)]",,,,
,3.2.3.5,C-14-1,,,Yes,,,,,,,,,,,,,,"[('REQUEST_SET_AUTOFILL_SERVICE'; 1)]",,,,
,3.2.3.5,C-15-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-1,,,Yes,,,,,,,,,,,,,,"[('H-1-1'; 1)]",,,,
,3.8.16,H-1-2,,,Yes,,,,,,,,,,,,,,"[('H-1-2'; 1)]",,,,
,3.8.16,H-1-3,,,Yes,,,,,,,,,,,,,,"[('H-1-3'; 1)]",,,,
,3.8.16,H-1-4,,,Yes,,,,,,,,,,,,,,"[('H-1-4'; 1)]",,,,
,3.8.16,H-2-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-2-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.9.11,C-1-3,,,Yes,,,,,,,,,,,,,,"[('DPC'; 10'; ('DevicePolicyManager.ACTION'; 3'; ('C-2-1'; 1)]",,,,
,3.9.2,C-2-1,,,Yes,,,,,,,,,,,,,,"[('4'; 2806)]",,,,
,4,C-0-8,,,Yes,,,,,,,,,,,,,,"[('4'; 2806'; ('APK'; 649)]",,,,
,4,C-0-9,,,Yes,,,,,,,,,,,,,,"[('6.1'; 12'; ('C-0-11'; 1)]",,,,
,6.1,C-0-11,,,Yes,,,,,,,,,,,,,,"[('6.1'; 12)]",,,,
,6.1,C-3-1,,,Yes,,,,,,,,,,,,,,"[('6.1'; 12)]",,,,
,6.1,C-3-2,,,Yes,,,,,,,,,,,,,,"[('6.1'; 12)]",,,,
,6.1,C-4-1,,,Yes,,,,,,,,,,,,,,"[('6.1'; 12)]",,,,
,6.1,C-5-1,,,Yes,,,,,,,,,,,,,,"[('H-1-1'; 1)]",,,,
,7.1.1.1,H-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.1.1.1,H-2-1,,,Yes,,,,,,,,,,,,,,"[('C-2-1'; 1)]",,,,
,7.1.1.1,C-2-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.1.1.1,C-3-1,,,Yes,,,,,,,,,,,,,,"[('EQP'; 2'; ('7.1.4.2'; 1'; ('android.software.vulkan.deqp.level'; 1'; ('C-1-8'; 1)]",,,,
,7.1.4.2,C-1-8,,,Yes,,,,,,,,,,,,,,"[('android.software.vulkan.deqp.level'; 1'; ('7.1.4.2'; 1'; ('C-1-9'; 1)]",,,,
,7.1.4.2,C-1-9,,,Yes,,,,,,,,,,,,,,"[('EQP'; 2'; ('7.1.4.2'; 1'; ('android.software.vulkan.deqp.level'; 1)]",,,,
,7.1.4.2,C-1-10,,,Yes,,,,,,,,,,,,,,"[('GPU'; 9)]",,,,
,7.1.4.6,H-0-1,,,Yes,,,,,,,,,,,,,,"[('GPU'; 9'; ('H-1-1'; 1)]",,,,
,7.1.4.6,H-1-1,,,Yes,,,,,,,,,,,,,,"[('GPU'; 9'; ('H-1-2'; 1)]",,,,
,7.1.4.6,H-1-2,,,Yes,,,,,,,,,,,,,,"[('GPU'; 9'; ('H-1-3'; 1)]",,,,
,7.1.4.6,H-1-3,,,Yes,,,,,,,,,,,,,,"[('GPU'; 9'; ('H-1-4'; 1)]",,,,
,7.1.4.6,H-1-4,,,Yes,,,,,,,,,,,,,,,,,,
,7.2.3,C-3-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.2.4,C-3-2,,,Yes,,,,,,,,,,,,,,"[('TOUCHSCREEN_NOTOUCH'; 3)]",,,,
,7.2.4,C-3-3,,,Yes,,,,,,,,,,,,,,"[('HID'; 64'; ('KEYCODE_BACK'; 22'; ('KEYCODE_HOME'; 15'; ('AXIS_X'; 3'; ('AXIS_Y'; 3'; ('C-2-1'; 1'; ('AXIS_RTRIGGER'; 1'; ('AXIS_Z'; 1'; ('AXIS_LTRIGGER'; 1'; ('AXIS_RZ'; 1'; ('KEYCODE_BUTTON_X'; 1'; ('KEYCODE_BUTTON_A'; 1'; ('KEYCODE_BUTTON_B'; 1'; ('KEYCODE_BUTTON_L1'; 1'; ('KEYCODE_BUTTON_THUMBL'; 1'; ('KEYCODE_BUTTON_R1'; 1'; ('KEYCODE_BUTTON_THUMBR'; 1'; ('KEYCODE_BUTTON_Y'; 1)]",,,,
,7.2.6.1,C-2-1,,,Yes,,,,,,,,,,,,,,"[('SystemClock.elapsedRealtimeNano'; 19'; ('getResolution()'; 4'; ('7.3'; 2)]",,,,
,7.3,C-1-6,,,Yes,,,,,,,,,,,,,,,,,,
,7.3,C-1-7,,,Yes,,,,,,,,,,,,,,,,,,
7.3.10 LockScreen and biometrics,7.3.10,C-4-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-4-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-4-3,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-5-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-5-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-6-1,,,Yes,,,,,,,,,,,,,,"[('PIN'; 38)]",,,,
,7.3.10,C-6-2,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13)]",,,,
,7.3.10,C-3-4,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
7.3.13 Hinge Angle Sensor,7.3.13,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.13,C-1-2,,,Yes,,,,,,,,,,,,,,"[('C-2-1'; 1)]",,,,
,7.3.13,C-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.4,A-3-1,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13)]",,,,
,7.3.4,A-3-2,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
,7.3.6,C-2-1,,,Yes,,,,,,,,,,,,,,"[('DNS'; 14)]",,,,
,7.4.5.2,C-4-1,,,Yes,,,,,,,,,,,,,,"[('DNS'; 14'; ('C-1-4'; 1)]",,,,
7.4.5.3. Captive Portals,7.4.5.3,C-1-1,,,Yes,,,,,,,,,,,,,,"[('connect()'; 16'; ('java.net.Socket'; 9)]",,,,
,7.4.5.3,C-1-2,,,Yes,,,,,,,,,,,,,,"[('UICC'; 14'; ('C-1-2'; 3)]",,,,
,7.4.5.3,C-1-3,,,Yes,,,,,,,,,,,,,,"[('android.hardware.camera'; 35'; ('android.hardware.Camera'; 12'; ('7.5.4'; 2)]",,,,
,7.4.5.3,C-1-4,,,Yes,,,,,,,,,,,,,,"[('9.1'; 12'; ('C-2-1'; 1'; ('ACTION_MANAGE_OVERLAY_PERMISSION'; 1)]",,,,
,7.4.5.3,C-1-5,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12'; ('C-1-9'; 1)]",,,,
,7.4.8,C-1-2,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12)]",,,,
,7.5.4,C-0-12,,,Yes,,,,,,,,,,,,,,"[('C-0-3'; 12'; ('9.10'; 12)]",,,,
,9.1,C-2-1,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12)]",,,,
,9.10.,C-1-9,,,Yes,,,,,,,,,,,,,,"[('9.10'; 12)]",,,,
,9.10.,C-1-10,,,Yes,,,,,,,,,,,,,,"[('getInstance()'; 58'; ('C-0-1'; 1)]",,,,
,9.10.,C-0-3,,,Yes,,,,,,,,,,,,,,"[('DMA'; 23'; ('android.security.identity'; 8)]",,,,
,9.10.,C-0-4,,,Yes,,,,,,,,,,,,,,"[('C-0-3'; 12'; ('android.security.identity'; 8'; ('createEphemeralKeyPair()'; 2)]",,,,
,9.10.,C-0-5,,,Yes,,,,,,,,,,,,,,"[('MAC'; 60)]",,,,
9.11.3 Identity Credential,9.11.3,C-0-1,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13)]",,,,
,9.11.3,C-0-2,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
,9.11.3,C-0-3,,,Yes,,,,,,,,,,,,,,,,,,
,9.11.3,C-0-4,,,Yes,,,,,,,,,,,,,,"[('AND'; 376'; ('C-1-4'; 1)]",,,,
9.16. Applciation Data Migration,9.16,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.16,C-1-2,,,Yes,,,,,,,,,,,,,,"[('9.5'; 6'; ('C-1-2'; 3)]",,,,
,9.16,C-1-3,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13'; ('BUGREPORT_MODE_TELEPHONY'; 2)]",,,,
,9.16,C-1-4,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
,9.16,C-1-5,,,Yes,,,,,,,,,,,,,,,,,,
,9.5,C-1-2,,,Yes,,,,,,,,,,,,,,"[('UID'; 63'; ('C-1-4'; 1)]",,,,
9.8.10. Connectivity Bug Report,9.8.10,C-1-1,,,Yes,,,,,,,,,,,,,,"[('C-1-1'; 13'; ('allowPublicAccess()'; 5'; ('allowSameSignatureAccess()'; 4)]",,,,
,9.8.10,C-1-2,,,Yes,,,,,,,,,,,,,,"[('C-1-2'; 3)]",,,,
,9.8.10,C-1-3,,,Yes,,,,,,,,,,,,,,"[('C-0-1'; 1)]",,,,
,9.8.10,C-1-4,,,Yes,,,,,,,,,,,,,,"[('RAM'; 173'; ('OTA'; 69'; ('PIN'; 38'; ('C-0-1'; 1)]",,,,
9.8.11. Data blobs sharing,9.8.11,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.8.11,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
9.8.9. Installed apps,9.8.9,C-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.9.3,C-1-14,,,Yes,,,,,,,,,,,,,,,,,,
9.9.4. Resume on Reboot,9.9.4,C-0-1,,,Yes,,,,,,,,,,,,,,,,,,