Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,manual_search_terms,,
,7.1.1.1,H-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.1.1.1,H-2-1,,,Yes,,android.car.cts.CarBluetoothTest,testSetDisplayedValuesRangeMatch(),CtsCarTestCases,,,,,,,,,,,,bluetooth,,
,7.1.4.6,H-0-1,,,Yes,,android.opengl.cts.Egl14Utils,testIsStateful(),CtsOpenGLTestCases,,,,,,,,,,,,ArtParser(aFile),,
,7.1.4.6,H-1-1,,,Yes,,android.opengl.cts.Egl14Utils,testIsStateful(),CtsOpenGLTestCases,,,,,,,,,,,,'getVdexInfo()',,
,7.1.4.6,H-1-2,,,Yes,,android.opengl.cts.Egl14Utils,testIsStateful(),CtsOpenGLTestCases,,,,,,,,,,,,sInternalReferenceSymboleMap,,
,7.1.4.6,H-1-3,,,Yes,,android.opengl.cts.Egl14Utils,testIsStateful(),CtsOpenGLTestCases,,,,,,,,,,,,,,
,7.1.4.6,H-1-4,,,Yes,,android.opengl.cts.Egl14Utils,testIsStateful(),CtsOpenGLTestCases,,,,,,,,,,,,,,
,3.8.16,H-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-1-2,,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testGetInputType(),CtsCameraTestCases,,,,,,,,,,,,,,
,3.8.16,H-1-3,,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testGetInputType(),CtsCameraTestCases,,,,,,,,,,,,,,
,3.8.16,H-1-4,,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testConstructor(),CtsCameraTestCases,,,,,,,,,,,,,,
,3.8.16,H-2-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.8.16,H-2-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.4,A-3-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.4,A-3-2,,,Yes,,,,,,,,,,,,,,,,,,
,3,A-1-1,,,Yes,,android.location.cts.gnss.pseudorange.UserPositionVelocityWeightedLeastSquare,testDuplicateKeys(),CtsLocationGnssTestCases,,,,,,,,,,,,,,
,3,A-1-2,,,Yes,,android.location.cts.gnss.pseudorange.UserPositionVelocityWeightedLeastSquare,testEntrySetArray(),CtsLocationGnssTestCases,,,,,,,,,,,,,,
,3.2.3.1,A-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.1,Tab-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.1.1,C-0-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.1.1,C-0-3,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-2-6,,,Yes,,android.provider.cts.calendar.CalendarTest,testBitmapIcon_getType(),CtsCalendarProviderTestCases,,,,,,,,,,,,,,
,3.2.3.5,C-3-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-5-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-5-2,,,Yes,,android.app.cts.NotificationManagerTest,testSetChildrenCursor(),CtsAppTestCases,,,,,,,,,,,,,,
,3.2.3.5,C-6-1,,,Yes,,android.app.cts.NotificationManagerTest,testGetCursor(),CtsAppTestCases,,,,,,,,,,,,,,
,3.2.3.5,C-7-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-8-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-9-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-11-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-12-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-13-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-13-2,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-14-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.2.3.5,C-15-1,,,Yes,,,,,,,,,,,,,,,,,,
,3.9.11,C-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,3.9.2,C-2-1,,,Yes,,com.android.cts.delegate.CertInstallDelegateTest,,,,,,,,,,,,,,,,
,4,C-0-8,,,Yes,,android.location.cts.common.TestGnssMeasurementListener,testGetBounds_multiStyle(),,,,,,,,,,,,,,,
,4,C-0-9,,,Yes,,android.location.cts.common.TestGnssMeasurementListener,getInstrumentation(),,,,,,,,,,,,,,,
,6.1,C-0-11,,,Yes,,android.media.cts.AudioTrackTest,testSetVisibility(),CtsMediaTestCases,,,,,,,,,,,,,,
,6.1,C-3-1,,,Yes,,android.media.cts.AudioTrackTest,isAnimating(),CtsMediaTestCases,,,,,,,,,,,,,,
,6.1,C-3-2,,,Yes,,android.media.cts.AudioTrackTest,testAnimationNotOverwriteNewProgress(),CtsMediaTestCases,,,,,,,,,,,,,,
,6.1,C-4-1,,,Yes,,android.media.cts.AudioTrackTest,testSetAccessibilityTraversalBefore(),CtsMediaTestCases,,,,,,,,,,,,,,
,6.1,C-5-1,,,Yes,,android.media.cts.AudioTrackTest,testSetViewPadding(),CtsMediaTestCases,,,,,,,,,,,,,,
,7.1.1.1,C-2-1,,,Yes,,android.server.wm.MultiDisplayTestBase,,CtsWindowManagerDeviceTestCases,,,,,,,,,,,,,,
,7.1.1.1,C-3-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.1.4.2,C-1-10,,,Yes,,android.graphics.cts.VulkanDeqpLevelTest,,CtsGraphicsTestCases,,,,,,,,,,,,,,
,7.2.3,C-3-1,,,Yes,,android.telephony.cts.CellInfoTest,testAccessCursorVisible(),CtsTelephonyTestCases,,,,,,,,,,,,,,
,7.2.4,C-3-2,,,Yes,,android.app.cts.SystemFeaturesTest,testIterationOrder(),CtsAppTestCases,,,,,,,,,,,,,,
,7.2.4,C-3-3,,,Yes,,android.location.cts.common.TestMeasurementUtil,testCommitMultiTestApp(),,,,,,,,,,,,,,,
,7.2.6.1,C-2-1,,,Yes,,android.hardware.input.cts.tests.MicrosoftDesignerKeyboardTest,RectShape(),CtsHardwareTestCases,,,,,,,,,,,,,,
,7.3,C-1-6,,,Yes,,android.hardware.cts.helpers.TestSensorEnvironment,,CtsSensorTestCases,,,,,,,,,,,,,,
,7.3,C-1-7,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.6,C-2-1,,,Yes,,,,,,,,,,,,,,,,,,
7.3.10 LockScreen and biometrics,7.3.10,C-4-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-4-2,,,Yes,,com.android.cts.verifier.biometrics.AbstractBaseTest,,,,,,,,,,,,,,,,
,7.3.10,C-4-3,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-5-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-5-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-6-1,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.10,C-6-2,,,Yes,,com.android.cts.verifier.biometrics.BiometricWeakTests,,,,,,,,,,,,,,,,
,7.3.10,C-3-4,,,Yes,,android.appsecurity.cts.ResumeOnRebootHostTest,,,,,,,,,,,,,,,,
7.3.13 Hinge Angle Sensor,7.3.13,C-1-1,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,7.3.13,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.3.13,C-1-3,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,7.4.5.2,C-4-1,,,Yes,,,,,,,,,,,,,,,,,,
7.4.5.3. Captive Portals,7.4.5.3,C-1-1,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,7.4.5.3,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,7.4.5.3,C-1-3,,,Yes,,com.android.cts.verifier.p2p.testcase.ServReqAllTestCase01,,,,,,,,,,,,,,,,
,7.4.5.3,C-1-4,,,Yes,,com.android.cts.verifier.p2p.testcase.ServReqAllTestCase01,,,,,,,,,,,,,,,,
,7.4.5.3,C-1-5,,,Yes,,android.location.cts.gnss.suplClient.SuplTcpClient,testConstructorWithNullContext1(),CtsLocationGnssTestCases,,,,,,,,,,,,,,
,7.4.8,C-1-2,,,Yes,,android.carrierapi.cts.CarrierApiTest,MockConstantState(),CtsCarrierApiTestCases,,,,,,,,,,,,,,
,7.5.4,C-0-12,,,Yes,,android.app.cts.SystemFeaturesTest,testSparseArrayWithSpecifiedCapacity(),CtsAppTestCases,,,,,,,,,,,,,,
,9.1,C-2-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.5,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
9.8.9. Installed apps,9.8.9,C-0-1,,,Yes,,,,,,,,,,,,,,,,,,
9.8.10. Connectivity Bug Report,9.8.10,C-1-1,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,9.8.10,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,9.8.10,C-1-3,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,9.8.10,C-1-4,,,Yes,,android.app.cts.StatusBarNotificationTest,testSetTextViewTextSize(),CtsAppTestCases,,,,,,,,,,,,,,
9.8.11. Data blobs sharing,9.8.11,C-1-1,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,9.8.11,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,9.9.3,C-1-14,,,Yes,,,,,,,,,,,,,,,,,,
9.9.4. Resume on Reboot,9.9.4,C-0-1,,,Yes,,android.text.cts.EmojiConstants,testDrawSetBounds(),CtsTextTestCases,,,,,,,,,,,,,,
,9.10.,C-1-9,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-1-10,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-0-3,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-0-4,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-0-5,,,Yes,,,,,,,,,,,,,,,,,,
9.11.3 Identity Credential,9.11.3,C-0-1,,,Yes,,android.app.stubs.TestTileService,testGetIntrinsicWidth(),,,,,,,,,,,,,IdentityCredentialStore IdentityCredentialStore(,,
,9.11.3,C-0-2,,,Yes,,android.telephony.ims.cts.SipDelegateManagerTest,testConstructor(),CtsTelephonyTestCases,,,,,,,,,,,,,,
,9.11.3,C-0-3,,,Yes,,android.security.identity.cts.Util,,CtsIdentityTestCases,,,,,,,,,,,,,,
,9.11.3,C-0-4,,,Yes,,android.location.cts.gnss.asn1.supl2.supl_init.MAC,setupActivity(),CtsLocationGnssTestCases,,,,,,,,,,,,,,
9.16. Applciation Data Migration,9.16,C-1-1,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,9.16,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,9.16,C-1-3,,,Yes,,com.android.cts.verifier.audio.ProAudioActivity,,,,,,,,,,,,,,,,
,9.16,C-1-4,,,Yes,,android.app.cts.ActivityManagerProcessStateTest,testFilter1(),CtsAppTestCases,,,,,,,,,,,,,,
,9.16,C-1-5,,,Yes,,,,,,,,,,,,,,,,,,
